Class/measure,precision,recall,f1-score,support
Agit,1.0,1.0,1.0,9
Air,1.0,1.0,1.0,16
Gtype,1.0,0.9,0.9473684210526316,10
Med,0.875,0.9545454545454546,0.9130434782608695,22
OD,0.9545454545454546,1.0,0.9767441860465117,21
Orgn,0.0,0.0,0.0,1
Phase,0.9473684210526315,1.0,0.972972972972973,18
Strain,0.75,1.0,0.8571428571428571,3
Substrain,1.0,0.75,0.8571428571428571,4
Supp,0.9428571428571428,0.9166666666666666,0.9295774647887323,36
Temp,1.0,0.9545454545454546,0.9767441860465117,22
pH,1.0,1.0,1.0,7
micro avg,0.9526627218934911,0.9526627218934911,0.9526627218934911,169
macro avg,0.8724809182046024,0.8729797979797981,0.8692280352878287,169
